ID,name,s4CuId,s4CuType,s4TaskListId,s4ObjNr
41148dc3-1b20-48b9-849d-812c4c534d91,"TX, OH, 3Ph, 150kVA, 21kV, 277/480",EOH_TX_3_PH600460,"TX, OH, 3Ph, 150kVA, 21kV, 277/480",00003847,CU00000000000014012918
b05e3cc8-317a-4c78-9d1d-d89d665e4729,"TX, OH, 3Ph, 300kVA, 12kV, 277/480",EOH_TX_3_PH600570,"TX, OH, 3Ph, 300kVA, 12kV, 277/480",00003848,CU00000000000014012919
06b5eb6d-6912-4206-a2ea-35e3c7180534,"TX, OH, 3Ph, 300kVA, 21kV, 277/480",EOH_TX_3_PH600580,"TX, OH, 3Ph, 300kVA, 21kV, 277/480",00003849,CU00000000000014012920
7b353a8b-63d5-4736-b5be-88933ae06d5a,"TX, OH, 3Ph, 45kV, 12kV, 277/480, SSTL",EOH_TX_3_PH600601,"TX, OH, 3Ph, 45kV, 12kV, 277/480, SSTL",00003850,CU00000000000014012921
2236dec5-4391-465c-9b54-b74505141f59,"TX, OH, 3Ph, 45kVA, 12kV, 277/480",EOH_TX_3_PH600603,"TX, OH, 3Ph, 45kVA, 12kV, 277/480",00003851,CU00000000000014012922
c67c9403-6a36-41f8-a2ec-9a64af9a6c84,"TX, OH, 3Ph, 45kVA, 21kV, 277/480, SSTL",EOH_TX_3_PH600611,"TX, OH, 3Ph, 45kVA, 21kV, 277/480, SSTL",00003852,CU00000000000014012923
75549679-54e0-4794-a157-7e2f7024c1e5,"TX, OH, 3Ph, 45kVA, 21kV, 277/480",EOH_TX_3_PH600613,"TX, OH, 3Ph, 45kVA, 21kV, 277/480",00003853,CU00000000000014012924
39b02818-db56-4d90-bee6-222e75c57d3b,"TX, OH, 3Ph, 75kVA, 12kV, 120/208, SSTL",EOH_TX_3_PH600631,"TX, OH, 3Ph, 75kVA, 12kV, 120/208, SSTL",00003854,CU00000000000014012925
9a153f9c-c60a-4029-9c2d-3761795bd4e2,"TX, OH, 3Ph, 75kVA, 12kV, 120/208",EOH_TX_3_PH600633,"TX, OH, 3Ph, 75kVA, 12kV, 120/208",00003855,CU00000000000014012926
8bf85430-f507-4ad4-a786-bccdad24f768,"TX, OH, 3Ph, 75kV, 12kV, 277/480, SSTL",EOH_TX_3_PH600641,"TX, OH, 3Ph, 75kV, 12kV, 277/480, SSTL",00003856,CU00000000000014012927
9708c391-dde0-438f-8b3a-09bd5c97ab79,"TX, OH, 3Ph, 75kVA, 12kV, 277/480",EOH_TX_3_PH600643,"TX, OH, 3Ph, 75kVA, 12kV, 277/480",00003857,CU00000000000014012928
4289245d-397f-47cf-9cd4-d35fda130f91,"TX, OH, 3Ph, 75kVA, 21kV, 120/208, SSTL",EOH_TX_3_PH600651,"TX, OH, 3Ph, 75kVA, 21kV, 120/208, SSTL",00003858,CU00000000000014012929
da051a15-a7fd-42eb-a0ca-11d48b5b2a4f,"TX, OH, 3Ph, 75kVA, 21kV, 120/208",EOH_TX_3_PH600653,"TX, OH, 3Ph, 75kVA, 21kV, 120/208",00003859,CU00000000000014012930
97fea549-e891-4a2d-8e90-926ed90d535b,"TX, OH, 3Ph, 75kVA, 21kV, 277/480, SSTL",EOH_TX_3_PH600661,"TX, OH, 3Ph, 75kVA, 21kV, 277/480, SSTL",00003860,CU00000000000014012931
00e028f2-f251-449e-a0c4-3395ddf153b6,"TX, OH, 3Ph, 75kVA, 21kV, 277/480",EOH_TX_3_PH600663,"TX, OH, 3Ph, 75kVA, 21kV, 277/480",00003884,CU00000000000014012932
20345af6-ce70-4fd6-8106-5fddb8094259,"TX, OH, 3Ph, 150kVA, 17kV, 277/480",EOH_TX_3_PH602230,"TX, OH, 3Ph, 150kVA, 17kV, 277/480",00003885,CU00000000000014012933
e70f2316-d885-4700-b453-6db9a4c70991,"TX, OH, 3Ph, 45kVA, 12kV, 120/208, SSTL",EOH_TX_3_PH602301,"TX, OH, 3Ph, 45kVA, 12kV, 120/208, SSTL",00003886,CU00000000000014012934
f36af384-3e7e-4fda-a470-9f44906ecb5a,"TX, OH, 3Ph, 45kVA, 12kV, 120/208",EOH_TX_3_PH602303,"TX, OH, 3Ph, 45kVA, 12kV, 120/208",00003887,CU00000000000014012935
f05c2582-0092-415b-adce-ebb34185e1c7,"TX, OH, 3Ph, 45kVA, 21kV, 120/208, SSTL",EOH_TX_3_PH602331,"TX, OH, 3Ph, 45kVA, 21kV, 120/208, SSTL",00003888,CU00000000000014012936
2f7a2546-2baa-4899-ba12-231c678a97cd,"TX, OH, 3Ph, 45kVA, 21kV, 120/208",EOH_TX_3_PH602333,"TX, OH, 3Ph, 45kVA, 21kV, 120/208",00003889,CU00000000000014012937
a395c2ee-24e4-433c-8d43-47762887ad7d,"TX, OH, 3Ph, 75kVA, 17kV, 277/480",EOH_TX_3_PH721780,"TX, OH, 3Ph, 75kVA, 17kV, 277/480",00003890,CU00000000000014012938
1c51b4ef-45e1-46e8-9a1b-7dd7f824f280,"TX, OH, 3Ph, 300kVA, 12kV, 120/208",EOH_TX_3_PH725880,"TX, OH, 3Ph, 300kVA, 12kV, 120/208",00003891,CU00000000000014012939
f75c85a7-e911-4697-a5b8-76d7587ab63d,"TX, OH, 3Ph, 75kVA, 17kV, 120/208",EOH_TX_3_PH731490,"TX, OH, 3Ph, 75kVA, 17kV, 120/208",00003892,CU00000000000014012940
e77c2bf7-ea59-4053-a464-c66e0a034bd3,"TX, OH, 3Ph, 150kVA, 17kV, 120/208",EOH_TX_3_PH731510,"TX, OH, 3Ph, 150kVA, 17kV, 120/208",00003893,CU00000000000014012941
27d5635a-a439-409b-a470-d3cf12a55ab4,"TX, OH, 3Ph, 300kVA, 17kV, 120/208",EOH_TX_3_PH731520,"TX, OH, 3Ph, 300kVA, 17kV, 120/208",00003894,CU00000000000014012942
d9445bbc-60fd-4b4c-b807-e2d1fc1e8191,"TX, OH, 3Ph, 300kVA, 17kV, 277/480",EOH_TX_3_PH731530,"TX, OH, 3Ph, 300kVA, 17kV, 277/480",00003895,CU00000000000014012943
2f6f61e7-bcee-4bba-b6c1-5fa117aeac79,"TX, OH, 3Ph, 45kVA, 4.2kV, 120/208",EOH_TX_3_PH752020,"TX, OH, 3Ph, 45kVA, 4.2kV, 120/208",00003896,CU00000000000014012944
346923a5-be21-4315-885a-4250e6ee2b66,"TX, OH, 3Ph, 45kVA, 4.2kV, 277/480",EOH_TX_3_PH752030,"TX, OH, 3Ph, 45kVA, 4.2kV, 277/480",00003897,CU00000000000014012945
23e87d6a-48ff-47b0-98f8-1441bc2a740e,"TX, OH, 3Ph, 150kVA, 4.2kV, 120/208",EOH_TX_3_PH752040,"TX, OH, 3Ph, 150kVA, 4.2kV, 120/208",00003898,CU00000000000014012946
04908b9f-1d7d-4c2d-83b7-fdc9dd501086,"TX, OH, 3Ph, 150kVA, 4.2kV, 277/480",EOH_TX_3_PH752050,"TX, OH, 3Ph, 150kVA, 4.2kV, 277/480",00003899,CU00000000000014012947
b0fb76b9-b0f6-4974-a77c-4b8a5a2a7d52,"TX, OH, 3Ph, 300kVA, 4.2kV, 277/480",EOH_TX_3_PH752070,"TX, OH, 3Ph, 300kVA, 4.2kV, 277/480",00003900,CU00000000000014012948
d50952d8-dac7-4501-9273-6d0947e29b5f,"TX, OH, 3Ph, 150kVA, 12kV, 277/480, SSTL",EOH_TX_3_PH909571,"TX, OH, 3Ph, 150kVA, 12kV, 277/480, SSTL",00003901,CU00000000000014012949
a5bda91c-4b76-4ed8-b4a2-6a10a91a19ae,,,,,
